nombre,codigo,precio,costo,stock,stock_minimo,categoria_id,proveedor
AGUJA REPUESTO 23g,20,50.00,35.00,2000,10,ENFERMERIA,ABC Proveedores
ALBENDAZOL TAB 200MG MASTICABLE,21,50.00,35.00,2100,10,ANTIPARASITARIO,ABC Proveedores
ALCANFOR TB,22,50.00,35.00,2200,10,ANTIPIRETICO,ABC Proveedores
ALCOHOL ETILICO 70% DERMACOL (250ML),23,50.00,35.00,2300,10,ENFERMERIA,ABC Proveedores
ALCOHOL ETILICO 70% DERMACOL (60ML),24,50.00,35.00,2400,10,ENFERMERIA,ABC Proveedores
ALCOHOL LITRO,25,50.00,35.00,2500,10,ENFERMERIA,ABC Proveedores
ALEVE TAB,26,50.00,35.00,2600,10,ANALGESICO,ABC Proveedores
ALGODON BOLSA 25g Lab. JALOMA,27,50.00,35.00,2700,10,ENFERMERIA,ABC Proveedores
ALGODON PLISADO 5g (MENUDIADO) JALOMA,28,50.00,35.00,2800,10,ENFERMERIA,ABC Proveedores
ALICOL D CELESTE 120  ML,29,50.00,35.00,2900,10,ANTIGRIPAL,ABC Proveedores
ALICOL ROJO JRB,30,50.00,35.00,3000,10,ANTIGRIPAL,ABC Proveedores
ALKA AD (BAYER),31,50.00,35.00,3100,10,ANTIDIARREICO,ABC Proveedores
ALKA GASTRIC,32,50.00,35.00,3200,10,ANTIACIDO,ABC Proveedores
ALKA SELZER,33,50.00,35.00,3300,10,ANTIACIDO,ABC Proveedores
ALOPURINOL TAB 300mg (SELECTPHARMA),34,50.00,35.00,3400,10,ANTIREUMATICO,ABC Proveedores
ALPRAZOLAM TAB 0.5mg,35,50.00,35.00,3500,10,ANSIOLITICO,ABC Proveedores
ALTA MUJER (Prueba de embarazo) CASETS,36,50.00,35.00,3600,10,PRUEBA DE EMBARAZO,ABC Proveedores
ALTA STRESS BEBIBLE,37,50.00,35.00,3700,10,VITAMINA,ABC Proveedores
ALTA STRESS TAB,38,50.00,35.00,3800,10,VITAMINA,ABC Proveedores
ALUMIN JRB SIMPLE 115 ml,39,50.00,35.00,3900,10,ANTIACIDO,ABC Proveedores
ALUMIN PLUS TAB (SOLKA),40,50.00,35.00,4000,10,ANTIACIDO,ABC Proveedores
ALUMIN  TAB (SOLKA),41,50.00,35.00,4100,10,ANTIACIDO,ABC Proveedores
AMBROXOL CLEMBUTERAL 7.5 MG / 5 ML (RAMOS),42,50.00,35.00,4200,10,EXPECTORANTE,ABC Proveedores
AMBROXOL CLEMBUTERAL 15 MG / 5 ML (RAMOS),43,50.00,35.00,4300,10,ANTIGRIPAL,ABC Proveedores
AMBROXOL JRB (RAMOS),44,50.00,35.00,4400,10,ANTIGRIPAL,ABC Proveedores
AMBROXOL NORDIC JRB,45,50.00,35.00,4500,10,ANTIGRIPAL,ABC Proveedores
AMIGADOCAINA TAB,46,50.00,35.00,4600,10,ANTIBACTERIAL,ABC Proveedores
AMOXICILINA POLVO PARA SUSPENSION ORAL 250 MG/5ML (ALFA),47,50.00,35.00,4700,10,ANTIBIOTICO,ABC Proveedores
AMOXICILINA POLVO PARA SUSPENSION ORAL 250 MG/5ML (LA SANTE),48,50.00,35.00,4800,10,ANTIBIOTICO,ABC Proveedores
AMOXICILINA/ACIDO CLAVULANICO 625 CAP THEON,49,50.00,35.00,4900,10,ANTIBIOTICO,ABC Proveedores
AMOXICILINA ACIDO CLAVULANICO 875MG+125MG THEON,50,50.00,35.00,5000,10,ANTIBIOTICO,ABC Proveedores
AMOXICILINA CP 500mg,51,50.00,35.00,5100,10,ANTIBIOTICO,ABC Proveedores
AMOXICILINA JBE FLAMINGO,52,50.00,35.00,5200,10,ANTIBIOTICO,ABC Proveedores
AMOXICILINA MK CAP,53,50.00,35.00,5300,10,ANTIBIOTICO,ABC Proveedores
AMOXICILINA MK JRB,54,50.00,35.00,5400,10,ANTIBIOTICO,ABC Proveedores
AMOXICILINA Y CLAVULANICO POTASICO JRB CAPLIN,55,50.00,35.00,5500,10,ANTIBIOTICO,ABC Proveedores
AMPICILINA CAP,56,50.00,35.00,5600,10,ANTIBIOTICO,ABC Proveedores
ANARA TAB,57,50.00,35.00,5700,10,LAXANTE,ABC Proveedores
ANDREWS CLASICA,58,50.00,35.00,5800,10,ANTIACIDO,ABC Proveedores
ANDREWS NARANJA,59,50.00,35.00,5900,10,ANTIACIDO,ABC Proveedores
APOSITO 3x4 INSU+MED,60,50.00,35.00,6000,10,ENFERMERIA,ABC Proveedores
APOSITO 5x9 INSU+MED,61,50.00,35.00,6100,10,ENFERMERIA,ABC Proveedores
APOSITO 6x6 INSU+MED,62,50.00,35.00,6200,10,ENFERMERIA,ABC Proveedores
ARTRIBION FUERTE 120g Lab. BIOKEMICAL UMGUENTO,63,50.00,35.00,6300,10,ANTIREUMATICO,ABC Proveedores
ARTRIBION FUERTE 60g Lab. BIOKEMICAL UNGÃœENTO,64,50.00,35.00,6400,10,ANTIREUMATICO,ABC Proveedores
ARTRIBION VITAMINADO CAP  Lab. BIOKEMICAL,65,50.00,35.00,6500,10,ANTIREUMATICO,ABC Proveedores
ASMASAN TAB,66,50.00,35.00,6600,10,ANTIHISTAMINICO,ABC Proveedores
ASPIRINA FORTE CD (BAYER),67,50.00,35.00,6700,10,ANTIPIRETICO,ABC Proveedores
ASPIRINA NIÃ‘O,68,50.00,35.00,6800,10,ANTIPIRETICO,ABC Proveedores
ASTROTON H4 TAB,69,50.00,35.00,6900,10,VITAMINA,ABC Proveedores
ATENOLOL 100 ml TAB CAPLIN,70,50.00,35.00,7000,10,HIPERTENSION,ABC Proveedores
ATENOLOL 50 mg TAB,71,50.00,35.00,7100,10,HIPERTENSION,ABC Proveedores
AVA - 28  BLISTER,72,50.00,35.00,7200,10,HIPERTENSION,ABC Proveedores
AVAMIGRAM,73,50.00,35.00,7300,10,MIGRAÃ‘AS,ABC Proveedores
AZIRAN  AZITROMICINA 15ML RAMOS JRB,74,50.00,35.00,7400,10,ANTIBIOTICO,ABC Proveedores
AZITROMICINA TAB 500 MG (LA SANTE),75,50.00,35.00,7500,10,ANTIBIOTICO,ABC Proveedores
AZITROMICINA JRB BENGOECHEA 30 ML,76,50.00,35.00,7600,10,ANTIBIOTICO,ABC Proveedores
AZITROMICINA JRB BENGOECHEA 15 ML,77,50.00,35.00,7700,10,ANTIBIOTICO,ABC Proveedores
AZUL DE MITILENO 2 ONZA,78,50.00,35.00,7800,10,ANTISEPTICOS,ABC Proveedores
BECLOMETASONA INHALADOR,79,50.00,35.00,7900,10,ANTIHISTAMINICO,ABC Proveedores
BEKYLAN ADULTO JRB (RAMOS),80,50.00,35.00,8000,10,ANTIHISTAMINICO,ABC Proveedores
BEKYLAN PEDIATRICO  F JRB,81,50.00,35.00,8100,10,ANTIHISTAMINICO,ABC Proveedores
BENCILPENICILINA BENZATINICA 1 200 000 IM Lab. BAGO,82,50.00,35.00,8200,10,ANTIHISTAMINICO,ABC Proveedores
BENZOATO DE BENCILO 25% SOCION,83,50.00,35.00,8300,10,ANTIHISTAMINICO,ABC Proveedores
BETAMETASONA 20g CREMA,84,50.00,35.00,8400,10,ANTIHISTAMINICO,ABC Proveedores
BICARBONATO SODICO POLVO 100MG,85,50.00,35.00,8500,10,ANTIHISTAMINICO,ABC Proveedores
BILOHESS TAB EXTRACTO DE GINKGO BILOBA,86,50.00,35.00,8600,10,ANTIHISTAMINICO,ABC Proveedores
BIOPRIM FORTE TAB (SOLKA),87,50.00,35.00,8700,10,ANTIHISTAMINICO,ABC Proveedores
BIOPRIM TAB. (SOLKA),88,50.00,35.00,8800,10,ANTIHISTAMINICO,ABC Proveedores
BOLSA PARA BASEADO DE ORINA Lab. MUNDI MEDICAL,89,50.00,35.00,8900,10,ANTIHISTAMINICO,ABC Proveedores
BONATRIM JRB SUSPENSION ORAL,90,50.00,35.00,9000,10,ANTIHISTAMINICO,ABC Proveedores
BRANULA #18,91,50.00,35.00,9100,10,ANTIHISTAMINICO,ABC Proveedores
BRANULA #20,92,50.00,35.00,9200,10,ANTIHISTAMINICO,ABC Proveedores
BRANULA #24,93,50.00,35.00,9300,10,ANTIHISTAMINICO,ABC Proveedores
BRANULA N 22,94,50.00,35.00,9400,10,ANTIHISTAMINICO,ABC Proveedores
BROMEXINA JRB IFC,95,50.00,35.00,9500,10,ANTIHISTAMINICO,ABC Proveedores
BROMURO DE IPATROPIO20ml (SOLUCION PARA NEBULIZAR 0.025%) Lab. RAMOS,96,50.00,35.00,9600,10,ANTIHISTAMINICO,ABC Proveedores
BROMURO DE OTILONIO TB.,97,50.00,35.00,9700,10,ANTIHISTAMINICO,ABC Proveedores
BRONCODIL GOTA,98,50.00,35.00,9800,10,ANTIHISTAMINICO,ABC Proveedores
BRONCODIL JRB,99,50.00,35.00,9900,10,ANTIHISTAMINICO,ABC Proveedores
BUSCAPINA I.M,100,50.00,35.00,10000,10,ANTIHISTAMINICO,ABC Proveedores
CALADERMINAN 120ML SUSPENCION TOPICA,101,50.00,35.00,10100,10,ANTIHISTAMINICO,ABC Proveedores
calcio 600mg vardhman,102,50.00,35.00,10200,10,ANTIHISTAMINICO,ABC Proveedores
CALCIO TAB 600mg Lab.UNIMARK,103,50.00,35.00,10300,10,ANTIHISTAMINICO,ABC Proveedores
CALCIO TAB 600mg Lab.VARDHAN,104,50.00,35.00,10400,10,ANTIHISTAMINICO,ABC Proveedores
CALCIO-VITAMINADO  D TAB,105,50.00,35.00,10500,10,ANTIHISTAMINICO,ABC Proveedores
CALLOSIN  LOSION 10ML,106,50.00,35.00,10600,10,ANTIHISTAMINICO,ABC Proveedores
CANCERINA,107,50.00,35.00,10700,10,ANTIHISTAMINICO,ABC Proveedores
CANESTEN CREMA,108,50.00,35.00,10800,10,ANTIHISTAMINICO,ABC Proveedores
CANESTEN V OVULOS VAGINALES,109,50.00,35.00,10900,10,ANTIHISTAMINICO,ABC Proveedores
CANISON VAGINAL TB. 100mg Lab. LOS PAISAS,110,50.00,35.00,11000,10,ANTIHISTAMINICO,ABC Proveedores
CAPLEX TAB,111,50.00,35.00,11100,10,ANTIHISTAMINICO,ABC Proveedores
CAPRORIL 25 MG  FLAMINGO TB,112,50.00,35.00,11200,10,ANTIHISTAMINICO,ABC Proveedores
captopril 25mg flamingo,113,50.00,35.00,11300,10,ANTIHISTAMINICO,ABC Proveedores
CAPTOPRIL 25mg TAB Lab. Genirefar,114,50.00,35.00,11400,10,ANTIHISTAMINICO,ABC Proveedores
CAPTOPRIL 50mg generifar,115,50.00,35.00,11500,10,ANTIHISTAMINICO,ABC Proveedores
CAPTOPRIL 50mg TAB. GENERIFAR,116,50.00,35.00,11600,10,ANTIHISTAMINICO,ABC Proveedores
CAPTOPRIL GENERIFAR 25mg,117,50.00,35.00,11700,10,ANTIHISTAMINICO,ABC Proveedores
CAPTOPRIL MK 25mg TAB.,118,50.00,35.00,11800,10,ANTIHISTAMINICO,ABC Proveedores
CARBAMAZEPINA 200mg,119,50.00,35.00,11900,10,ANTIHISTAMINICO,ABC Proveedores
CARBIDILOL TAB.  25 mg,120,50.00,35.00,12000,10,ANTIHISTAMINICO,ABC Proveedores
CARBIDILOL TAB.  6.25 mg,121,50.00,35.00,12100,10,ANTIHISTAMINICO,ABC Proveedores
CARBONAL TAB.,122,50.00,35.00,12200,10,ANTIHISTAMINICO,ABC Proveedores
CARDIO ASPIRINA TB. 81mg,123,50.00,35.00,12300,10,ANTIHISTAMINICO,ABC Proveedores
CARDIO VITAL CAP.,124,50.00,35.00,12400,10,ANTIHISTAMINICO,ABC Proveedores
CARMINOL TB,125,50.00,35.00,12500,10,ANTIHISTAMINICO,ABC Proveedores
CARVEDILOL 25MG,126,50.00,35.00,12600,10,ANTIHISTAMINICO,ABC Proveedores
CARVEDILOL 6.25mg TAB.,127,50.00,35.00,12700,10,ANTIHISTAMINICO,ABC Proveedores
CEBION CALCIO FRASCO 10 TAB. EFERVECENTE SABOR NARANJA,128,50.00,35.00,12800,10,ANTIHISTAMINICO,ABC Proveedores
CEBION MINIS 100mg,129,50.00,35.00,12900,10,ANTIHISTAMINICO,ABC Proveedores
CEBION SABOR FRESA GOTA 30ml,130,50.00,35.00,13000,10,ANTIHISTAMINICO,ABC Proveedores
CEFADROXILO 250MG/5ML JRB,131,50.00,35.00,13100,10,ANTIHISTAMINICO,ABC Proveedores
CEFADROXILO TAB.,132,50.00,35.00,13200,10,ANTIHISTAMINICO,ABC Proveedores
CEFALEXINA 500mg TAB.,133,50.00,35.00,13300,10,ANTIHISTAMINICO,ABC Proveedores
CEFEXIMA 40mg CAP. FAMINGO,134,50.00,35.00,13400,10,ANTIHISTAMINICO,ABC Proveedores
cefixima 4000mg paisa,135,50.00,35.00,13500,10,ANTIHISTAMINICO,ABC Proveedores
CEFIXIMA 400MG FLAMINGO,136,50.00,35.00,13600,10,ANTIHISTAMINICO,ABC Proveedores
CEFIXIMA 400mg Lab. UNIPHARM CP,137,50.00,35.00,13700,10,ANTIHISTAMINICO,ABC Proveedores
CEFRADOXILO JRB GENERIFAR,138,50.00,35.00,13800,10,ANTIHISTAMINICO,ABC Proveedores
CEFTLIDO (CEFTRIAXONA+LIDOCAINA) Lab. UNIMARK,139,50.00,35.00,13900,10,ANTIHISTAMINICO,ABC Proveedores
CEFTRIAXONA IM/IV Lab. PHARMA,140,50.00,35.00,14000,10,ANTIHISTAMINICO,ABC Proveedores
CEGUELITO CREMA 120g,141,50.00,35.00,14100,10,ANTIHISTAMINICO,ABC Proveedores
CEPTRIAXONA IM CAPLIN,142,50.00,35.00,14200,10,ANTIHISTAMINICO,ABC Proveedores
CEREBRO VIT CAP.,143,50.00,35.00,14300,10,ANTIHISTAMINICO,ABC Proveedores
CEREBROFOS BEBIBLE,144,50.00,35.00,14400,10,ANTIHISTAMINICO,ABC Proveedores
CEREBROFOS CAP,145,50.00,35.00,14500,10,ANTIHISTAMINICO,ABC Proveedores
CETERIZINA 10MG CALOX,146,50.00,35.00,14600,10,ANTIHISTAMINICO,ABC Proveedores
CETERIZINA JRB GENERIFAR,147,50.00,35.00,14700,10,ANTIHISTAMINICO,ABC Proveedores
CETIRIZINA 10mg Lab. CALOX,148,50.00,35.00,14800,10,ANTIHISTAMINICO,ABC Proveedores
CETRIAXAONE  1g IM/I.V  Lab. REYOUNG SIN LIDOCAINA,149,50.00,35.00,14900,10,ANTIHISTAMINICO,ABC Proveedores
CETRILER TAB,150,50.00,35.00,15000,10,ANTIHISTAMINICO,ABC Proveedores
CETZA C10 CETERIZINA,151,50.00,35.00,15100,10,ANTIHISTAMINICO,ABC Proveedores
CEVILAT KIT SOBRE (PARMA),152,50.00,35.00,15200,10,ANTIHISTAMINICO,ABC Proveedores
CEVILLAT KIDS 2g,153,50.00,35.00,15300,10,ANTIHISTAMINICO,ABC Proveedores
CHIP TYGO,154,50.00,35.00,15400,10,ANTIHISTAMINICO,ABC Proveedores
CIPROFIBRATO TAB,155,50.00,35.00,15500,10,ANTIHISTAMINICO,ABC Proveedores
CIPROFLOXACINA TAB 500mg Lab. CAPLIN,156,50.00,35.00,15600,10,ANTIHISTAMINICO,ABC Proveedores
CIPROFLOXACINA TB PAISA,157,50.00,35.00,15700,10,ANTIHISTAMINICO,ABC Proveedores
CIPROPTHAL 0.3% GOTA CIPROFLOXACINA 5ml Lab. PANSYMA,158,50.00,35.00,15800,10,ANTIHISTAMINICO,ABC Proveedores
CIRUELAX FORTE TAB,159,50.00,35.00,15900,10,ANTIHISTAMINICO,ABC Proveedores
CIRUELAX GARDEN HOUSE 300g (JALEA LAXANTE),160,50.00,35.00,16000,10,ANTIHISTAMINICO,ABC Proveedores
CIRUELAX TAB,161,50.00,35.00,16100,10,ANTIHISTAMINICO,ABC Proveedores
CLARIBAC Lab. LANCASCO JRB,162,50.00,35.00,16200,10,ANTIHISTAMINICO,ABC Proveedores
CLARITOMICINA JRB GENERIFAR,163,50.00,35.00,16300,10,ANTIHISTAMINICO,ABC Proveedores
CLARITROMICINA   500 MG TB,164,50.00,35.00,16400,10,ANTIHISTAMINICO,ABC Proveedores
CLINDAMICINA CP SANTE,165,50.00,35.00,16500,10,ANTIHISTAMINICO,ABC Proveedores
CLINDAMICINA Lab. Ramos,166,50.00,35.00,16600,10,ANTIHISTAMINICO,ABC Proveedores
CLOHIDRATO DE TRAMADOL 100mg/2ml I.M Lab. CAPLIN,167,50.00,35.00,16700,10,ANTIHISTAMINICO,ABC Proveedores
CLONAZEPAM 2mg,168,50.00,35.00,16800,10,ANTIHISTAMINICO,ABC Proveedores
CLOPIDOGREL 75MG CAPLIN TB,169,50.00,35.00,16900,10,ANTIHISTAMINICO,ABC Proveedores
CLOPIDROGREL 75mg TAB THEON,170,50.00,35.00,17000,10,ANTIHISTAMINICO,ABC Proveedores
CLORAFENICOL GOTA Labg. ALFA,171,50.00,35.00,17100,10,ANTIHISTAMINICO,ABC Proveedores
cloranfenicol cap 500mg pharma,172,50.00,35.00,17200,10,ANTIHISTAMINICO,ABC Proveedores
CLORTRIMAZOL OVULO 100mg Lab. RAMOS,173,50.00,35.00,17300,10,ANTIHISTAMINICO,ABC Proveedores
CLORURO DE POTASIO,174,50.00,35.00,17400,10,ANTIHISTAMINICO,ABC Proveedores
CLORURO DE SODIO 0.1% 1000ml SOLUSION INYECTABLE PARA INFUSION INTRAVENOSA,175,50.00,35.00,17500,10,ANTIHISTAMINICO,ABC Proveedores
CLORURO POTASIO  iv im,176,50.00,35.00,17600,10,ANTIHISTAMINICO,ABC Proveedores
CLOTRIMAZOL 1% (CREMA VAGINAL) Lab. RAMOS,177,50.00,35.00,17700,10,ANTIHISTAMINICO,ABC Proveedores
CLOTRIMAZOL 1% CREMA IFC,178,50.00,35.00,17800,10,ANTIHISTAMINICO,ABC Proveedores
clotrimazol 100mg,179,50.00,35.00,17900,10,ANTIHISTAMINICO,ABC Proveedores
CLOTRIMAZOL CREMA LOS PAISA 2%,180,50.00,35.00,18000,10,ANTIHISTAMINICO,ABC Proveedores
CLOTRIMAZOL CREMA TOPICA THEON,181,50.00,35.00,18100,10,ANTIHISTAMINICO,ABC Proveedores
CLOTRIMAZOL OVULO 500mg Lab. RAMOS,182,50.00,35.00,18200,10,ANTIHISTAMINICO,ABC Proveedores
CLOTRIMAZOL VAGINAL  SELECTPHARMA,183,50.00,35.00,18300,10,ANTIHISTAMINICO,ABC Proveedores
CLOTRIPLEX  LATA,184,50.00,35.00,18400,10,ANTIHISTAMINICO,ABC Proveedores
CLOTRIPLEX TUBO,185,50.00,35.00,18500,10,ANTIHISTAMINICO,ABC Proveedores
CLOVITAL 1% CLOTRIMAZOL CREMA,186,50.00,35.00,18600,10,ANTIHISTAMINICO,ABC Proveedores
COFAL FUERTE 120g Lab.ASPEN,187,50.00,35.00,18700,10,ANTIHISTAMINICO,ABC Proveedores
COFAL FUERTE 60g Lab.ASPEN,188,50.00,35.00,18800,10,ANTIHISTAMINICO,ABC Proveedores
COFAL ORIGINAL AZUL 60g Lab. ASPEN,189,50.00,35.00,18900,10,ANTIHISTAMINICO,ABC Proveedores
COLGATE 100ML,190,50.00,35.00,19000,10,ANTIHISTAMINICO,ABC Proveedores
COLGATE 50ML  PQ,191,50.00,35.00,19100,10,ANTIHISTAMINICO,ABC Proveedores
COLIPAX TAB.,192,50.00,35.00,19200,10,ANTIHISTAMINICO,ABC Proveedores
COLPOBEN (CLINDAMICINA 100mg-ketocomazol tableta vaginal) Lab. CEDETSA,193,50.00,35.00,19300,10,ANTIHISTAMINICO,ABC Proveedores
COMPLEJO B  LAB PARBUS S,A,194,50.00,35.00,19400,10,ANTIHISTAMINICO,ABC Proveedores
COMPLEJO B 12 I.M Lab. Paisima,195,50.00,35.00,19500,10,ANTIHISTAMINICO,ABC Proveedores
COMPLEJO B TAB.,196,50.00,35.00,19600,10,ANTIHISTAMINICO,ABC Proveedores
complejo B12  2ml,197,50.00,35.00,19700,10,ANTIHISTAMINICO,ABC Proveedores
CONDON PRESERVATIVO DE GOMA NUBAMED,198,50.00,35.00,19800,10,ANTIHISTAMINICO,ABC Proveedores
CONDONES  INDIVIDUALES,199,50.00,35.00,19900,10,ANTIHISTAMINICO,ABC Proveedores
CONDONES VIVE MIX SABOR CHOCOLATE,200,50.00,35.00,20000,10,ANTIHISTAMINICO,ABC Proveedores
CONDONES VIVE MIX SABOR FRESA,201,50.00,35.00,20100,10,ANTIHISTAMINICO,ABC Proveedores
CONDONES VIVE MIX SABOR UVA,202,50.00,35.00,20200,10,ANTIHISTAMINICO,ABC Proveedores
CONDONES VIVE ORIGINAL,203,50.00,35.00,20300,10,ANTIHISTAMINICO,ABC Proveedores
CONDONES VIVE RETARDANTE,204,50.00,35.00,20400,10,ANTIHISTAMINICO,ABC Proveedores
COPIDROGREL TAB. CAPLIN,205,50.00,35.00,20500,10,ANTIHISTAMINICO,ABC Proveedores
COXONE 25gm DEKETOPROFENO,206,50.00,35.00,20600,10,ANTIHISTAMINICO,ABC Proveedores
CREMA DE PENICILINA,207,50.00,35.00,20700,10,ANTIHISTAMINICO,ABC Proveedores
CREMA VAGINAL 20g 3 dias CANESTEN,208,50.00,35.00,20800,10,ANTIHISTAMINICO,ABC Proveedores
CREMOQUIMONA (HIDROQUINONA 4%) 30g,209,50.00,35.00,20900,10,ANTIHISTAMINICO,ABC Proveedores
CROTIMAZOL VAGINAL AL 2%,210,50.00,35.00,21000,10,ANTIHISTAMINICO,ABC Proveedores
CURE BAND COLOR PIEL,211,50.00,35.00,21100,10,ANTIHISTAMINICO,ABC Proveedores
CYCLONOR I.M,212,50.00,35.00,21200,10,ANTIHISTAMINICO,ABC Proveedores
CYSTONE (HIMALAYA),213,50.00,35.00,21300,10,ANTIHISTAMINICO,ABC Proveedores
DAFLON TAB 500mg,214,50.00,35.00,21400,10,ANTIHISTAMINICO,ABC Proveedores
DECATILENO  TAB,215,50.00,35.00,21500,10,ANTIHISTAMINICO,ABC Proveedores
DEFLAXACOR TAB CALOX,216,50.00,35.00,21600,10,ANTIHISTAMINICO,ABC Proveedores
DELOR ANTIGRIPAL,217,50.00,35.00,21700,10,ANTIHISTAMINICO,ABC Proveedores
DELOR EXTRAFUERTE,218,50.00,35.00,21800,10,ANTIHISTAMINICO,ABC Proveedores
DELOR FLEX,219,50.00,35.00,21900,10,ANTIHISTAMINICO,ABC Proveedores
DELOR NINO TB,220,50.00,35.00,22000,10,ANTIHISTAMINICO,ABC Proveedores
DELOX NIÃ‘O,221,50.00,35.00,22100,10,ANTIHISTAMINICO,ABC Proveedores
DEMACOL 70% 60ml SPRAY,222,50.00,35.00,22200,10,ANTIHISTAMINICO,ABC Proveedores
DEPRESOR DE LENGUA NO ESTERIL,223,50.00,35.00,22300,10,ANTIHISTAMINICO,ABC Proveedores
DERMACOBER BABY,224,50.00,35.00,22400,10,ANTIHISTAMINICO,ABC Proveedores
DERMACOVER GEL 70 ML,225,50.00,35.00,22500,10,ANTIHISTAMINICO,ABC Proveedores
DERMATRIUM CREMA 15MG,226,50.00,35.00,22600,10,ANTIHISTAMINICO,ABC Proveedores
DESLORATADINA (CAMPUS) JRB,227,50.00,35.00,22700,10,ANTIHISTAMINICO,ABC Proveedores
DESLORATADINA CAPLIN,228,50.00,35.00,22800,10,ANTIHISTAMINICO,ABC Proveedores
DEXA- DOCEPLEX I.M,229,50.00,35.00,22900,10,ANTIHISTAMINICO,ABC Proveedores
DEXA NEUROBION I.M,230,50.00,35.00,23000,10,ANTIHISTAMINICO,ABC Proveedores
DEXA VITALGIA IM,231,50.00,35.00,23100,10,ANTIHISTAMINICO,ABC Proveedores
dexacor 0,5mg,232,50.00,35.00,23200,10,ANTIHISTAMINICO,ABC Proveedores
DEXACORT-PLUS OVULO Lab. SOLKA,233,50.00,35.00,23300,10,ANTIHISTAMINICO,ABC Proveedores
DEXAMETASONA 8 MG / 2 ML  IM/IV,234,50.00,35.00,23400,10,ANTIHISTAMINICO,ABC Proveedores
DEXAMETASONA INACTIVO,235,50.00,35.00,23500,10,ANTIHISTAMINICO,ABC Proveedores
DEXAMETAXONA CREMA,236,50.00,35.00,23600,10,ANTIHISTAMINICO,ABC Proveedores
DEXAMETOAXONA TAB,237,50.00,35.00,23700,10,ANTIHISTAMINICO,ABC Proveedores
DEXA-NERVISEL I.M,238,50.00,35.00,23800,10,ANTIHISTAMINICO,ABC Proveedores
DEXIN PLUS JRB,239,50.00,35.00,23900,10,ANTIHISTAMINICO,ABC Proveedores
DEXIN PLUS TAB,240,50.00,35.00,24000,10,ANTIHISTAMINICO,ABC Proveedores
DEXKETOPROFENO TAB 25mg Lab. RAMOS,241,50.00,35.00,24100,10,ANTIHISTAMINICO,ABC Proveedores
DEXONA TB DEXAMETASONA 05 MG,242,50.00,35.00,24200,10,ANTIHISTAMINICO,ABC Proveedores
DEXTROMETORFANO JRB SELECTPHARM,243,50.00,35.00,24300,10,ANTIHISTAMINICO,ABC Proveedores
DEXTROSA 5% SOLUCION PARA INFUSION INTRAVENOSA,244,50.00,35.00,24400,10,ANTIHISTAMINICO,ABC Proveedores
DEXTROVITA SUERO VITAMINADO 1 000ml Lab. BONIN,245,50.00,35.00,24500,10,ANTIHISTAMINICO,ABC Proveedores
DIABETEX CREMA CORPORAL 400ml,246,50.00,35.00,24600,10,ANTIHISTAMINICO,ABC Proveedores
DIABION CP,247,50.00,35.00,24700,10,ANTIHISTAMINICO,ABC Proveedores
DIAREXIN SUSPENSION ORAL JRB,248,50.00,35.00,24800,10,ANTIHISTAMINICO,ABC Proveedores
DIARROL,249,50.00,35.00,24900,10,ANTIHISTAMINICO,ABC Proveedores
